gene_symbol,log2fc,pval,padj
RERG,4.7366,2.5366713756304494e-60,9.392849828181901e-59
RPL5,0.3288258,5.028365130057621e-60,1.8584156990073864e-58
HMGB1,0.42930087,7.638808753829049e-60,2.812626549022224e-58
CBX6,1.6002791,8.580661028509236e-60,3.153513217617731e-58
RSU1,1.3871601,9.968543210466371e-60,3.6567443396304065e-58
BEX3,1.7478623,1.0563045434055195e-59,3.867608925966355e-58
SIVA1,0.9736039,2.029452682895817e-59,7.403172291483776e-58
ITGA7,4.6625214,6.623551756279854e-59,2.411708789481009e-57
GEM,1.6914465,1.1912116416489038e-58,4.329316690961321e-57
C5orf24,1.6893439,1.928930245431253e-58,6.997532561931605e-57
EHD2,2.2725,2.8287153069974548e-58,1.022393389084264e-56
PRUNE2,4.300375,6.186055436000067e-58,2.2276597432716726e-56
AGT,4.3042254,7.276648176467371e-58,2.615602494436955e-56
ZNF385D,3.262205,1.0463291155893383e-57,3.7541830421017462e-56
FRY,2.6453023,1.5869647861340858e-57,5.652699569740651e-56
CNBP,0.6604675,7.370827285787204e-57,2.5925797154409303e-55
SPOP,1.5357515,9.732075380894657e-57,3.4109102698600846e-55
PRELP,0.8673267,1.9645264487040383e-56,6.848673587662908e-55
PCNP,0.90230715,3.02906975272715e-55,1.044869639967039e-53
SLIRP,0.83092266,4.548493325546451e-55,1.563504821099551e-53
PRSS23,1.3342777,4.814377809112607e-55,1.6520121550222004e-53
GADD45A,1.1330283,5.101378812594512e-55,1.744405395012753e-53
MICAL2,3.175634,6.0756754580514326e-55,2.0739571329202652e-53
LBH,1.5645247,3.7948120492272196e-54,1.2864412846880275e-52
PLEKHO1,2.039175,5.182064815799253e-54,1.750683134162284e-52
DNAJB4,1.4647198,5.629754519614226e-54,1.8986660954486263e-52
LIMS2,2.2205422,1.5228679832834731e-53,5.1009591630868226e-52
ROCK1,1.0174394,1.6825882597602547e-53,5.626369109422811e-52
TSPAN2,3.076703,1.6971775425614539e-53,5.665518648869831e-52
SYNPO,2.6213677,4.564595245115564e-53,1.5211707069400376e-51
SMIM10,3.2269154,6.686372797628138e-53,2.224491741911412e-51
DDAH2,0.84136975,1.2656924936871586e-52,4.203723954540019e-51
RSL24D1,0.7001476,1.5797017861114604e-52,5.237790306665014e-51
