gene_symbol,log2fc,pval,padj
NDUFS1,0.6134836,0.0005225703416557755,0.003112625888408318
HPF1,0.8583601,0.0005230649823336663,0.003113702671832167
GTF2A2,0.24507709,0.0005257688833258978,0.0031288340750465506
MUT,0.9419422,0.0005273576929775442,0.003136459059549544
SMAD5,0.7204721,0.0005273692224021357,0.003136459059549544
PPM1K,0.5108461,0.0005275710253604598,0.003136710462847705
SLC39A1,0.29695585,0.0005289307432141336,0.0031438440970605486
CCT6A,0.2685393,0.0005298187709105749,0.0031481706478222195
MAN1A2,0.5600193,0.0005354977033311382,0.0031799927039857564
P4HB,0.18440902,0.000535834034380016,0.003181029222216146
METAP1,1.1073169,0.0005399531526206266,0.003204515208821841
TMEM25,1.7916272,0.0005456201235574508,0.003236193927416771
COMT,0.11740019,0.0005520248273183308,0.0032722074629885503
EFR3A,0.5448139,0.0005601772118364784,0.00331853098497404
STRN3,0.7221091,0.0005693169856539222,0.003369629913283389
FBXO3,0.7332767,0.0005754172875507502,0.0034036867352054303
SCYL1,0.566594,0.0005785954705661862,0.0034194001028771724
PHYHD1,0.6999458,0.0005833617372969728,0.0034465319948116225
SNAP23,0.2983739,0.0005837956897548599,0.0034480597332412306
PLEC,0.6537737,0.0005845788306473433,0.0034516483387952144
DPF2,0.6139815,0.0005883464331979137,0.0034728512667479374
EIF4E,0.085047945,0.0005951651380992793,0.003509939095773254
VAPB,0.7670991,0.0005954071368741952,0.0035103133808756896
HADHB,0.21569653,0.0005985193071854224,0.0035246827088684504
RPL7,0.5392146,0.0005985614670385391,0.0035246827088684504
POMP,-0.095523015,0.0006170653152444228,0.0036292965086257376
VEZF1,0.61240244,0.000620329625612636,0.0036463142298342748
MTMR2,1.1771127,0.0006248814236400085,0.0036719720716108326
CMSS1,0.58742976,0.0006355033766456872,0.0037310443092288753
FKBP3,0.30868816,0.0006453184892701738,0.0037852780835412165
SLC39A7,0.49888548,0.0006488369474748112,0.0038035173044217606
TXN,-0.3660373,0.0006498234877204616,0.00380716013574485
CACNA2D1,2.2110136,0.0006543189623557606,0.003832356103020246
PLEKHA3,0.58678156,0.0006554685154965125,0.00383794578668625
BLZF1,1.0561918,0.0006602773809148197,0.003864952028445128
KLHDC3,0.5123494,0.0006650653763101011,0.003890662132998872
BCL2L1,0.61105293,0.000666128575463114,0.0038957227991539994
MIR4458HG,0.58685225,0.0006736587736436424,0.0039362492741103405
TGFB2,2.5419092,0.0006820732686438336,0.003983048591646883
NELFE,0.35607663,0.000686381517222504,0.004007017040269856
TPR,0.28399512,0.0006903372127394209,0.004025329263606908
AHDC1,1.3156601,0.0006907743344647128,0.004026683950265396
HOXA4,2.1939692,0.0006988889024643739,0.004069618119987192
LINC00998,0.44945738,0.0006989675715184999,0.004069618119987192
RASAL2,1.2329631,0.0007037065727015581,0.004094785034761182
TAF6,0.8500799,0.0007118592731059758,0.0041397743353474405
INSIG2,0.7110237,0.0007125378437896525,0.004142495294084017
CYC1,0.21407169,0.0007164800532442997,0.004161722542655664
GLO1,0.19828172,0.0007181532646557477,0.00416897829632752
PHGDH,0.032110054,0.0007368076076799865,0.004276006842445069
SUMO1,0.18898392,0.0007375948816219675,0.004279312647521725
CAMSAP2,0.9639331,0.0007403960185890077,0.004291764893130032
SPRYD7,0.82785213,0.0007434728089220885,0.004308329610676718
SUSD2,1.2390076,0.0007443858457582269,0.004312349587300606
BRSK2,5.439312,0.0007534290456760949,0.004360883690339528
PM20D2,1.5427066,0.0007544137539828714,0.004365298184464748
MYO1E,1.0168219,0.0007579928436389802,0.004384717649788063
TXNDC15,0.41118383,0.00077005372628831,0.00445317540184728
RPS19BP1,0.19679785,0.0007776178830925915,0.004494274784646248
GTF3C6,0.22400883,0.0007789508559361796,0.004499333645539707
MOAP1,0.6415889,0.0007798503597545918,0.0045032063945652815
SNAPIN,0.42478874,0.0007854221195487631,0.004532717849887813
RNF152,3.0759232,0.0007859650303761747,0.00453452007842029
KRT17,1.1266776,0.0007897919560657489,0.004555262376111691
SPIN1,0.6919101,0.0007951592874200529,0.004584874460191519
MRPS26,0.42249623,0.0008024706050778646,0.004624319178499699
PRKAB2,1.75979,0.0008071595841970951,0.004649700247990705
CMAS,0.56605524,0.0008073480137646357,0.004649700247990705
ATP5G3,0.16889295,0.0008093504539224938,0.004659867825775717
PWP1,0.38303396,0.0008338787172076359,0.004798508732192627
SHC4,3.9109817,0.0008339184385058592,0.004798508732192627
USE1,0.46432495,0.0008465228446767614,0.004866763792992539
HOXB-AS1,1.5434047,0.0008500787586916095,0.004885778589124357
GBAS,0.8431125,0.0008515445986468431,0.004892773202394573
SENP6,0.4764499,0.0008529226422759685,0.004899259419348552
PHAX,0.5104307,0.0008580022457605062,0.004926997709153935
